CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
5138	11490	1	0.8514	8.009
1884	4933	1	0.8416	81.526
251	11028	1	0.9134	-1.001
1986	3977	1	0.8539	-144.539
1643	2643	1	0.8475	-175.564
438	10778	1	0.9657	-65.020
288	8152	1	0.8724	-289.566
4387	5891	1	0.8664	81.516
2096	4180	1	0.8642	2.012
4740	6460	1	0.8528	-288.560
3462	6460	1	0.8656	-0.498
4380	5388	1	0.9161	144.524
3977	6571	1	0.9615	-1.001
1884	3853	1	0.9145	-64.521
1283	6855	1	0.8761	224.551
1047	6855	1	0.8979	-66.035
2679	6648	1	0.8537	146.560
5388	7357	1	0.8989	-144.021
704	7877	1	0.8976	-218.022
1643	11300	1	0.8696	-164.570
3082	10737	1	0.8522	-146.570
1338	3426	1	0.9032	227.559
1056	2996	1	0.886	15.999
1927	5620	1	0.8514	443.038
4944	11300	1	0.8448	-226.563
1507	10795	1	0.9285	-0.005
4180	6364	1	0.8449	-290.074
909	10737	1	0.8416	-292.104
4380	10917	1	0.9343	73.522
8152	10222	1	0.8836	-66.030
4266	5662	1	0.8978	-7.980
704	3462	1	0.8487	78.015
1495	2762	1	0.8632	-220.034
6460	6648	1	0.8428	220.537
2996	10984	1	0.8642	209.055
5000	11028	1	0.9472	-2.012
4608	4740	1	0.888	0.000
8152	10778	1	0.8792	224.546
909	1950	1	0.8635	-292.095
2996	3646	1	0.9519	65.024
4933	10984	1	0.8485	144.031
899	1354	1	0.9163	0.000
1076	6571	1	0.8754	-1.001
288	3426	1	0.9484	-63.017
147	1107	1	0.8682	0.000
1626	2742	1	0.846	81.023
4377	5795	1	0.8405	143.025
3147	11300	1	0.8694	160.039
3760	4387	1	0.8502	73.522
3790	4206	1	0.9259	76.022
1213	2002	1	0.8553	-144.534
288	8469	1	0.855	65.020
5662	6460	1	0.8827	-68.526
4293	10525	1	0.8847	230.045
3790	8382	1	0.8617	228.033
909	4338	1	0.8498	-15.994
3790	5516	1	0.8449	-141.032
2096	3977	1	0.8869	1.001
261	2551	1	0.9699	1.011
6460	6865	1	0.8771	-364.577
1673	3712	1	0.887	76.003
1338	3646	1	0.8718	146.546
288	3646	1	0.8446	-144.031
2002	2551	1	0.8588	144.534
2412	2643	1	0.8836	149.046
10222	11300	1	0.8619	65.020
3462	7877	1	0.8601	-296.037
5785	7667	1	0.8759	-144.031
1986	7357	1	0.9218	-72.516
4690	5000	1	0.9423	0.503
1927	6970	1	0.93	-0.517
909	1213	1	0.9102	1.011
7092	10795	1	0.8509	-1.030
150	2103	1	0.8689	2.017
4206	7178	1	0.8409	76.027
1056	3853	1	0.9105	-65.024
1248	4944	1	0.8885	66.026
261	4199	1	0.862	-287.051
261	10917	1	0.8975	145.042
1354	2002	1	0.8825	-288.565
1604	3853	1	0.9157	0.498
261	1076	1	0.8698	0.000
261	899	1	0.9055	145.042
3082	4795	1	0.8468	207.522
2085	5019	1	0.8822	-220.034
3977	4199	1	0.8566	-287.051
7667	10619	1	0.87	144.036
1047	5584	1	0.8845	-290.586
1248	2750	1	0.8678	0.000
1338	1643	1	0.8957	164.570
1047	1884	1	0.962	-0.503
1098	2996	1	0.8867	81.023
1075	1098	1	0.8838	-80.525
4387	5388	1	0.884	288.555
2959	6460	1	0.8453	84.002
1213	3977	1	0.8955	-1.011
2744	3646	1	0.9139	0.000
3753	4795	1	0.9296	290.572
1947	2551	1	0.8525	-380.107
438	3853	1	0.8513	-290.078
255	4944	1	0.8635	1.509
3646	3753	1	0.8693	-209.558
6970	11316	1	0.875	144.539
3853	4933	1	0.8686	146.047
4690	6236	1	0.8507	-280.067
3746	3752	1	0.8494	-68.023
2996	11316	1	0.8507	225.064
4721	4795	1	0.9381	64.996
1056	5683	1	0.8514	159.531
2966	5683	1	0.8404	-146.546
3977	4180	1	0.9033	1.011
2472	2959	1	0.8636	15.999
438	2643	1	0.8474	-301.570
4380	7357	1	0.9407	0.503
