CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
49	6614	55	0.9266	-131.045
49	7356	55	0.8216	-137.995
49	7716	55	0.8978	-312.160
49	8044	55	0.9566	13.014
49	827	55	0.843	-146.038
50	63	500	1.0	2.007
51	10327	15	0.7717	-21.009
51	10338	15	0.801	0.000
51	1082	15	0.7499	-91.048
51	1204	15	0.7633	-25.009
51	1266	15	0.7082	6.998
51	1321	15	0.7325	-42.032
51	1737	15	0.7574	-133.081
51	363	15	0.7074	-50.032
51	4645	15	0.7884	7.990
51	6153	15	0.6855	33.511
51	6543	15	0.8467	-21.009
51	84	15	0.782	7.999
51	89	15	0.835	-21.009
51	8937	15	0.7406	17.000
51	956	15	0.9489	47.009
52	113	38	0.8897	32.994
52	187	38	0.8996	149.051
52	1896	38	0.793	-45.007
52	283	38	0.8924	46.003
52	631	38	0.8503	-57.020
53	1050	38	0.8346	-0.019
53	1083	38	0.8245	-47.019
53	247	38	0.8145	-46.008
53	471	38	0.8398	-151.039
53	87	38	0.7665	14.011
54	10318	2	0.9604	-192.065
54	3081	2	0.9736	-192.060
55	1754	36	0.6663	-265.697
55	252	36	0.744	42.008
55	374	36	0.8077	0.000
55	694	36	0.8983	-170.668
56	10396	75	0.844	-192.079
56	10435	75	0.8824	-162.070
56	11001	75	0.9615	-146.071
56	151	75	0.9182	-30.009
56	522	75	0.9088	-146.062
56	565	75	0.8574	-192.070
56	97	75	0.8905	-162.051
59	1158	9	0.6619	60.019
59	116	9	0.6584	337.116
59	2082	9	0.7023	159.076
59	215	9	0.7362	0.000
59	269	9	0.6768	191.069
59	6133	9	0.6768	191.078
59	663	9	0.7027	351.117
59	888	9	0.6483	-18.992
59	903	9	0.6917	337.116
61	478	124	0.764	14.030
61	8334	124	0.7512	41.031
62	112	170	0.8474	152.011
62	1138	170	0.8028	2.017
62	1419	170	0.8368	151.724
62	1650	170	0.9826	-18.010
62	2007	170	0.743	149.994
62	2179	170	0.9438	-322.056
62	3087	170	0.817	152.011
62	3274	170	0.8697	151.005
62	3741	170	0.97	-1.001
62	452	170	0.9097	152.011
62	5280	170	0.8645	217.012
62	555	170	0.8577	152.011
62	597	170	0.8774	5.954
62	619	170	0.8834	-0.321
62	6875	170	0.8442	151.005
62	728	170	0.8841	154.028
62	837	170	0.7787	320.016
62	838	170	0.7569	304.022
62	933	170	0.8322	320.016
64	6043	6	0.7592	-162.046
69	1123	370	0.8434	0.000
70	1974	91	0.9218	61.829
70	2626	91	0.9375	68.028
70	306	91	0.9392	48.058
70	4411	91	0.9406	-15.994
70	4934	91	0.9263	62.074
70	621	91	0.8719	0.000
70	8088	91	0.8759	16.070
71	1058	323	0.9211	-30.010
76	1955	277	0.7587	0.000
76	2383	277	0.758	15.994
77	1326	66	0.7037	15.999
78	890	77	1.0	0.000
79	10344	2	0.8474	-143.063
79	171	2	0.9829	18.010
79	2090	2	0.9036	18.010
79	3530	2	0.9638	18.010
79	86	2	0.9391	18.992
80	11021	11	0.929	-192.065
80	1268	11	0.9526	-153.012
80	1380	11	0.8636	53.998
80	1837	11	0.9107	2.017
80	2001	11	0.9427	-10.021
80	2091	11	0.8837	-305.023
80	2146	11	0.8819	5.978
80	2536	11	0.8929	-304.022
80	2597	11	0.8822	4.033
80	260	11	0.8814	-304.022
80	2630	11	0.9009	-10.021
80	267	11	0.9443	0.000
80	2806	11	0.9491	-10.021
80	3006	11	0.8834	-1.001
80	3174	11	0.9276	2.017
80	3533	11	0.9128	-44.063
80	3691	11	0.9455	-344.071
80	422	11	0.9714	-152.011
80	563	11	0.9948	0.000
80	583	11	0.9149	0.000
80	5843	11	0.9599	-152.011
80	6621	11	0.9371	-1.001
81	6502	2	0.92	14.011
81	85	2	0.9293	-91.015
83	1122	2	0.9111	1.001
83	1437	2	0.8407	-161.055
83	3416	2	0.986	0.000
84	10327	15	0.7115	-29.008
84	10338	15	0.6814	-7.999
84	1204	15	0.8626	-33.008
84	1340	15	0.8412	-21.009
84	1578	15	0.741	-49.021
84	3040	15	0.6912	70.030
84	3476	15	0.7778	-134.068
84	3623	15	0.7243	-70.030
84	371	15	0.6913	-61.030
84	3780	15	0.8126	6.998
84	4043	15	0.6967	-199.609
84	4645	15	0.867	-0.010
84	5733	15	0.7925	10.509
84	6153	15	0.7112	25.512
84	6543	15	0.7548	-29.008
84	671	15	0.7464	-133.081
84	7445	15	0.8218	-72.042
84	89	15	0.8057	-29.008
84	8937	15	0.8475	9.000
84	956	15	0.7478	39.010
85	3002	2	0.8879	-161.074
85	3419	2	0.941	-29.976
85	4775	2	0.9384	46.003
85	7568	2	0.8829	-178.064
86	171	2	0.9694	-0.982
86	2090	2	0.8905	-0.982
86	223	2	0.9217	-2.007
86	3530	2	0.9411	-0.982
87	1050	38	0.7612	-14.030
87	234	38	0.7649	-160.049
87	428	38	0.8045	-44.020
89	10327	15	0.7353	0.000
89	10338	15	0.6839	21.009
89	1082	15	0.7144	-70.040
89	1204	15	0.77	-4.000
89	1340	15	0.7164	7.999
89	1737	15	0.7133	-112.072
89	3476	15	0.6909	-105.059
89	3780	15	0.707	36.006
89	4645	15	0.7996	28.999
89	5733	15	0.7118	39.518
89	6543	15	0.8653	0.000
89	8937	15	0.7813	38.009
89	956	15	0.8162	68.018
91	10426	84	0.8993	-0.010
91	10670	84	0.9018	45.998
91	10845	84	0.859	-99.072
91	10877	84	0.915	-140.108
91	10938	84	0.9053	-99.081
91	10947	84	0.8775	-116.062
91	11684	84	0.8979	-101.079
91	1930	84	0.905	-116.048
91	280	84	0.921	46.008
91	418	84	0.9514	-498.291
93	377	2	0.9424	0.000
93	916	2	0.9211	128.071
95	10335	11	0.9611	0.000
95	12267	11	0.9554	-0.048
95	1478	11	0.9305	5.973
95	246	11	0.8692	-129.967
