CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
704	11490	1	0.8825	2.021
1495	3712	1	0.9013	0.000
1626	10778	1	0.9191	0.005
4380	10917	1	0.9343	73.522
1338	10984	1	0.8831	290.576
899	1213	1	0.9003	-144.031
1927	4933	1	0.867	-16.018
1884	3646	1	0.8617	81.526
678	7605	1	0.9311	-1.001
1604	8152	1	0.9204	1.011
4313	5138	1	0.9237	-212.039
1626	2742	1	0.846	81.023
1047	11300	1	0.9097	-65.523
1986	7357	1	0.9218	-72.516
899	2551	1	0.8961	-144.031
4380	5388	1	0.9161	144.524
4266	5662	1	0.8978	-7.980
1248	1643	1	0.8716	4.033
3790	6643	1	0.8872	75.519
1927	2996	1	0.9098	-81.042
1884	8152	1	0.9217	-64.009
2085	3201	1	0.916	-144.031
1551	2803	1	0.8889	76.003
1213	11083	1	0.875	-1.011
4387	5891	1	0.8664	81.516
1604	6855	1	0.9069	-0.513
373	3993	1	0.85	-1.001
1098	3147	1	0.8976	-160.537
4051	7843	1	0.8608	-81.013
251	2103	1	0.8911	2.017
2551	11083	1	0.9315	-1.011
2829	3627	1	0.8529	-152.030
1826	4690	1	0.8938	16.521
1098	2996	1	0.8867	81.023
4225	10795	1	0.8879	-15.994
3833	5620	1	0.8414	378.042
1248	1338	1	0.8443	-160.537
3426	3541	1	0.8606	128.037
8152	10984	1	0.8743	289.566
251	1946	1	0.8853	0.038
1065	3082	1	0.9069	434.617
2085	5388	1	0.8535	2.979
704	7877	1	0.8976	-218.022
3790	5516	1	0.8449	-141.032
1927	3753	1	0.9232	-225.576
899	5388	1	0.905	71.002
5000	11028	1	0.9472	-2.012
2762	11490	1	0.9173	0.010
1107	2867	1	0.8487	-10.021
2002	10917	1	0.8436	288.565
4163	5119	1	0.8651	-68.023
678	5000	1	0.9386	1.011
1673	5662	1	0.921	0.000
1673	11722	1	0.8422	219.536
3790	10525	1	0.8512	76.022
255	3426	1	0.8915	2.505
2679	3462	1	0.8534	-73.479
1248	2673	1	0.8704	-225.557
288	4944	1	0.9109	-64.014
4269	10525	1	0.8891	228.033
4163	6534	1	0.8615	-0.498
1950	10737	1	0.9172	-0.010
3355	3746	1	0.8763	-158.023
2412	2643	1	0.8836	149.046
4944	10778	1	0.8785	-1.006
1643	10778	1	0.9113	60.986
2472	6643	1	0.8725	220.039
704	6534	1	0.8451	77.517
4387	10917	1	0.9293	217.553
2679	2959	1	0.845	-157.979
2679	4740	1	0.871	214.583
1673	2762	1	0.8906	-144.031
261	3977	1	0.9533	0.000
909	2096	1	0.9055	-1.001
2742	2996	1	0.8556	-225.054
899	3977	1	0.8526	-145.042
5119	6648	1	0.843	288.062
3201	5119	1	0.8491	-76.003
1884	3753	1	0.8535	-128.032
1826	2103	1	0.9617	18.030
5119	5779	1	0.8444	288.062
1495	2679	1	0.9412	-70.552
1075	3833	1	0.8618	146.536
1047	1884	1	0.962	-0.503
438	1338	1	0.8724	-290.576
1047	2673	1	0.9227	-130.542
3082	4721	1	0.8554	142.527
1338	8469	1	0.8517	355.596
1283	6855	1	0.8761	224.551
4608	11722	1	0.8939	-0.498
2551	6571	1	0.9489	-2.012
1075	2742	1	0.8544	225.552
4387	6236	1	0.8498	81.013
1047	10984	1	0.8681	225.054
3352	5870	1	0.8876	155.000
2451	4199	1	0.9295	0.503
4944	11300	1	0.8448	-226.563
776	1107	1	0.9254	-5.973
1826	11028	1	0.9643	15.012
5779	5785	1	0.8588	68.023
255	10984	1	0.9355	65.523
4269	7178	1	0.8857	304.060
3541	10778	1	0.8832	-130.039
150	7605	1	0.8582	-1.001
2996	3753	1	0.898	-144.534
8469	10984	1	0.8995	-65.020
899	2096	1	0.8462	-146.043
1891	2451	1	0.8582	0.508
1056	11300	1	0.9175	-65.523
1098	4218	1	0.8892	-79.509
1673	2679	1	0.9538	5.451
1604	10778	1	0.8473	225.557
1248	11300	1	0.8699	-160.537
4313	4801	1	0.8823	7.999
1947	2551	1	0.8525	-380.107
1643	6855	1	0.8781	-165.083
3201	7357	1	0.8432	2.989
1826	1946	1	0.9487	16.051
1056	8152	1	0.9184	-64.512
2085	7357	1	0.8722	-141.042
1604	1884	1	0.9628	65.020
10984	11300	1	0.8992	-290.576
3753	4218	1	0.855	-15.999
2742	4944	1	0.8568	-80.012
909	1076	1	0.8939	0.000
1283	1884	1	0.9466	290.083
1884	11300	1	0.9248	-65.020
255	2744	1	0.8493	-78.508
4180	4387	1	0.9012	-73.522
1507	10795	1	0.9285	-0.005
261	4199	1	0.862	-287.051
1098	1283	1	0.9432	-225.562
2643	3147	1	0.8611	-149.046
255	11316	1	0.8727	81.531
1098	4933	1	0.8527	146.047
1047	3426	1	0.8903	162.037
2551	5388	1	0.8412	215.033
6492	7667	1	0.8564	68.023
3082	4795	1	0.8468	207.522
438	8469	1	0.8938	65.020
4313	7667	1	0.8782	15.994
1213	3977	1	0.8955	-1.011
